slug,name,website,logo_url,icon_url,logo_type,industry,employee_count_range,founded_year,extras
accel-club,Accel Club,https://www.accelclub.co,https://jobseek-assets.colophon-group.org/companies/accel-club/logo.png,https://jobseek-assets.colophon-group.org/companies/accel-club/icon.png,,5,3,2021,
acronis,Acronis,https://www.acronis.com/,https://jobseek-assets.colophon-group.org/companies/acronis/logo.png,https://jobseek-assets.colophon-group.org/companies/acronis/icon.png,,1,6,2003,
adyen,Adyen,https://www.adyen.com,https://jobseek-assets.colophon-group.org/companies/adyen/logo.png,https://jobseek-assets.colophon-group.org/companies/adyen/icon.webp,wordmark,2,6,2006,"{""sameAs"": [""https://en.wikipedia.org/wiki/Adyen"", ""https://www.linkedin.com/company/adyen"", ""https://twitter.com/adyen""], ""legalName"": ""Adyen N.V."", ""tickerSymbol"": ""Q478720"", ""wikidataId"": ""Q4686934""}"
amazon,Amazon,https://www.amazon.com,https://jobseek-assets.colophon-group.org/companies/amazon/logo.svg,https://jobseek-assets.colophon-group.org/companies/amazon/icon.png,,1,8,1994,
ami,AMI,https://ami.com,https://jobseek-assets.colophon-group.org/companies/ami/logo.png,https://jobseek-assets.colophon-group.org/companies/ami/icon.webp,wordmark+icon,1,2,,
apify,Apify,https://apify.com,https://jobseek-assets.colophon-group.org/companies/apify/logo.png,https://jobseek-assets.colophon-group.org/companies/apify/icon.png,wordmark+icon,1,3,2016,
apple,Apple,https://www.apple.com,https://jobseek-assets.colophon-group.org/companies/apple/logo.png,https://jobseek-assets.colophon-group.org/companies/apple/icon.png,icon,1,8,1976,
black-forest-labs,Black Forest Labs,https://bfl.ai,https://jobseek-assets.colophon-group.org/companies/black-forest-labs/logo.png,https://jobseek-assets.colophon-group.org/companies/black-forest-labs/icon.webp,wordmark+icon,1,,2024,"{""sameAs"": [""https://x.com/bfl_ml"", ""https://github.com/black-forest-labs"", ""https://www.linkedin.com/company/bflai/"", ""https://twitter.com/bfl_ml""], ""wikidataId"": ""Q128801641""}"
bloom-diy,Bloom,https://bloom.diy,https://jobseek-assets.colophon-group.org/companies/bloom-diy/logo.png,https://jobseek-assets.colophon-group.org/companies/bloom-diy/icon.png,icon,1,1,2025,
brainrocket,BrainRocket,https://www.brainrocket.com,https://jobseek-assets.colophon-group.org/companies/brainrocket/logo.svg,https://jobseek-assets.colophon-group.org/companies/brainrocket/icon.png,,1,6,2020,
caffeine-ai,Caffeine AI,https://caffeine.ai,https://jobseek-assets.colophon-group.org/companies/caffeine-ai/logo.png,https://jobseek-assets.colophon-group.org/companies/caffeine-ai/icon.webp,icon,1,2,2023,
chipmind,Chipmind,https://www.chipmind.ai,https://jobseek-assets.colophon-group.org/companies/chipmind/logo.png,https://jobseek-assets.colophon-group.org/companies/chipmind/icon.png,wordmark+icon,1,1,2024,
cloudflare,Cloudflare,https://www.cloudflare.com,https://jobseek-assets.colophon-group.org/companies/cloudflare/logo.svg,https://jobseek-assets.colophon-group.org/companies/cloudflare/icon.png,,1,6,2009,
constructor-tech,Constructor,https://constructor.tech,https://jobseek-assets.colophon-group.org/companies/constructor-tech/logo.svg,https://jobseek-assets.colophon-group.org/companies/constructor-tech/icon.ico,,1,3,2015,
corintis,Corintis,https://corintis.com,https://jobseek-assets.colophon-group.org/companies/corintis/logo.svg,https://jobseek-assets.colophon-group.org/companies/corintis/icon.png,wordmark+icon,1,2,2020,
cradle,Cradle,https://www.cradle.bio,https://jobseek-assets.colophon-group.org/companies/cradle/logo.png,https://jobseek-assets.colophon-group.org/companies/cradle/icon.webp,wordmark+icon,18,2,2021,
databricks,Databricks,https://www.databricks.com,https://jobseek-assets.colophon-group.org/companies/databricks/logo.png,https://jobseek-assets.colophon-group.org/companies/databricks/icon.png,,1,6,2013,
deepjudge,DeepJudge,https://www.deepjudge.ai,https://jobseek-assets.colophon-group.org/companies/deepjudge/logo.svg,https://jobseek-assets.colophon-group.org/companies/deepjudge/icon.png,,1,2,2021,
deepmind,Google DeepMind,https://deepmind.google,https://jobseek-assets.colophon-group.org/companies/deepmind/logo.png,https://jobseek-assets.colophon-group.org/companies/deepmind/icon.png,,1,7,2010,
depoly,DePoly,https://www.depoly.co,https://jobseek-assets.colophon-group.org/companies/depoly/logo.png,https://jobseek-assets.colophon-group.org/companies/depoly/icon.webp,wordmark+icon,4,2,2020,
dphi-space,DPhi Space,https://www.dphispace.com,https://jobseek-assets.colophon-group.org/companies/dphi-space/logo.png,https://jobseek-assets.colophon-group.org/companies/dphi-space/icon.jpg,wordmark,15,1,2024,
elevenlabs,ElevenLabs,https://elevenlabs.io,https://jobseek-assets.colophon-group.org/companies/elevenlabs/logo.svg,https://jobseek-assets.colophon-group.org/companies/elevenlabs/icon.svg,,1,3,2022,
esri,Esri,https://www.esri.com,https://jobseek-assets.colophon-group.org/companies/esri/logo.png,https://jobseek-assets.colophon-group.org/companies/esri/icon.webp,wordmark+icon,1,6,1969,"{""sameAs"": [""https://x.com/esri,https://www.facebook.com/esrigis,https://www.linkedin.com/company/esri,https://www.instagram.com/esrigram,https://www.youtube.com/user/esritv,https://en.wikipedia.org/wiki/Esri"", ""https://www.linkedin.com/company/esri"", ""https://github.com/esri"", ""https://twitter.com/Esri""], ""wikidataId"": ""Q1045778""}"
ethon-ai,Ethon AI,https://www.ethon.ai,https://jobseek-assets.colophon-group.org/companies/ethon-ai/logo.png,https://jobseek-assets.colophon-group.org/companies/ethon-ai/icon.png,wordmark+icon,1,2,2021,
exa-ai,Exa,https://exa.ai,https://jobseek-assets.colophon-group.org/companies/exa-ai/logo.svg,https://jobseek-assets.colophon-group.org/companies/exa-ai/icon.svg,,1,3,2021,
expedia-group,Expedia Group,https://www.expediagroup.com,https://jobseek-assets.colophon-group.org/companies/expedia-group/logo.png,https://jobseek-assets.colophon-group.org/companies/expedia-group/icon.webp,wordmark,17,8,1996,"{""sameAs"": [""https://www.linkedin.com/company/expedia"", ""https://github.com/ExpediaGroup"", ""https://twitter.com/ExpediaGroup""], ""tickerSymbol"": ""Q82059"", ""wikidataId"": ""Q8085893""}"
figma,Figma,https://www.figma.com,https://jobseek-assets.colophon-group.org/companies/figma/logo.svg,https://jobseek-assets.colophon-group.org/companies/figma/icon.png,,1,6,2012,
genpeach-ai,Genpeach AI,https://genpeach.ai,https://jobseek-assets.colophon-group.org/companies/genpeach-ai/logo.png,https://jobseek-assets.colophon-group.org/companies/genpeach-ai/icon.webp,wordmark,1,2,2024,"{""sameAs"": [""https://www.linkedin.com/company/genpeach-ai"", ""https://twitter.com/genpeachai""]}"
glovo,Glovo,https://glovoapp.com,https://jobseek-assets.colophon-group.org/companies/glovo/logo.png,https://jobseek-assets.colophon-group.org/companies/glovo/icon.png,wordmark,9,6,2015,
google,Google,https://www.google.com,https://jobseek-assets.colophon-group.org/companies/google/logo.png,https://jobseek-assets.colophon-group.org/companies/google/icon.png,,1,8,1998,
