keyword                                            companies   docs  % companies
-------------------------------------------------------------------------------
insights                                                  51   7036        79.7%
backend                                                   51   1022        79.7%
scalable                                                  50   5042        78.1%
deployment                                                50   3868        78.1%
familiarity                                               50   3410        78.1%
pipelines                                                 50   2278        78.1%
ideally                                                   50   1026        78.1%
cloud                                                     49  10741        76.6%
metrics                                                   49   6539        76.6%
5+                                                        49   4717        76.6%
concepts                                                  49   3852        76.6%
improvements                                              48   5720        75.0%
identifying                                               48   4683        75.0%
sql                                                       48   4130        75.0%
distributed                                               48   4124        75.0%
lifecycle                                                 48   3254        75.0%
managers                                                  47   9177        73.4%
execution                                                 47   7473        73.4%
collaborative                                             47   6217        73.4%
implementing                                              47   4613        73.4%
designing                                                 47   4234        73.4%
3+                                                        47   4222        73.4%
translate                                                 47   2845        73.4%
stack                                                     47   2035        73.4%
workflow                                                  47   1763        73.4%
api                                                       47   1195        73.4%
effectively                                               46   8718        71.9%
evolving                                                  46   2121        71.9%
kpis                                                      46   1566        71.9%
refine                                                    46    964        71.9%
engage                                                    45   4431        70.3%
scaling                                                   45   3166        70.3%
data-driven                                               45   2965        70.3%
pipeline                                                  45   2031        70.3%
dashboards                                                45   1421        70.3%
preferably                                                45   1414        70.3%
fluent                                                    45    978        70.3%
priorities                                                44   4475        68.8%
independently                                             44   4253        68.8%
improving                                                 44   2864        68.8%
roadmap                                                   44   2776        68.8%
coding                                                    44   2769        68.8%
alignment                                                 44   2583        68.8%
rapidly                                                   44   2288        68.8%
decision-making                                           44   2093        68.8%
approaches                                                44   1838        68.8%
findings                                                  44   1344        68.8%
problem-solving                                           43   4087        67.2%
oversee                                                   43   2668        67.2%
defining                                                  43   2472        67.2%
architectures                                             43   2222        67.2%
partnerships                                              43   2079        67.2%
scalability                                               43   1913        67.2%
coordination                                              43   1747        67.2%
ci/cd                                                     43   1292        67.2%
interactions                                              43   1277        67.2%
startup                                                   43    920        67.2%
frontend                                                  43    420        67.2%
robust                                                    42   6500        65.6%
guidance                                                  42   5345        65.6%
actively                                                  42   3254        65.6%
resolve                                                   42   2919        65.6%
broader                                                   42   2680        65.6%
automated                                                 42   2645        65.6%
timely                                                    42   2429        65.6%
ml                                                        42   1918        65.6%
articulate                                                42   1831        65.6%
optimizing                                                42   1711        65.6%
tooling                                                   42   1259        65.6%
real-world                                                42   1153        65.6%
designers                                                 42   1087        65.6%
flows                                                     42   1001        65.6%
smooth                                                    42    982        65.6%
high-performing                                           42    960        65.6%
kubernetes                                                42    782        65.6%
messaging                                                 42    717        65.6%
risks                                                     41   4841        64.1%
mentor                                                    41   3887        64.1%
engaging                                                  41   3487        64.1%
cutting-edge                                              41   3400        64.1%
emerging                                                  41   2753        64.1%
modeling                                                  41   2645        64.1%
accurate                                                  41   2120        64.1%
prepare                                                   41   2077        64.1%
audiences                                                 41   2036        64.1%
day-to-day                                                41   1977        64.1%
compelling                                                41   1756        64.1%
measurable                                                41   1668        64.1%
fluency                                                   41   1546        64.1%
campaigns                                                 41   1397        64.1%
non-technical                                             41   1327        64.1%
react                                                     41   1294        64.1%
high-performance                                          41   1238        64.1%
interfaces                                                41   1048        64.1%
datasets                                                  41   1045        64.1%
javascript                                                41   1036        64.1%
organized                                                 41    901        64.1%
fundamentals                                              41    872        64.1%
strengthen                                                41    764        64.1%
communicator                                              41    658        64.1%
aws                                                       40   7666        62.5%
scope                                                     40   4499        62.5%
troubleshooting                                           40   4441        62.5%
expectations                                              40   3522        62.5%
governance                                                40   3215        62.5%
exciting                                                  40   2547        62.5%
efficiently                                               40   2373        62.5%
landscape                                                 40   1644        62.5%
devops                                                    40   1128        62.5%
ux                                                        40    957        62.5%
consistency                                               40    945        62.5%
closing                                                   40    795        62.5%
crm                                                       40    763        62.5%
positioning                                               40    715        62.5%
retention                                                 40    586        62.5%
experiment                                                40    446        62.5%
contributing                                              39   4050        60.9%
methodologies                                             39   3611        60.9%
mentoring                                                 39   3346        60.9%
conferences                                               39   2806        60.9%
adapt                                                     39   2234        60.9%
structures                                                39   2045        60.9%
scripting                                                 39   1707        60.9%
prioritization                                            39   1647        60.9%
keeping                                                   39   1636        60.9%
aligned                                                   39   1574        60.9%
skilled                                                   39   1573        60.9%
databases                                                 39   1572        60.9%
interaction                                               39   1567        60.9%
high-impact                                               39   1543        60.9%
presentations                                             39   1536        60.9%
satisfaction                                              39   1328        60.9%
validate                                                  39   1313        60.9%
saas                                                      39   1231        60.9%
negotiation                                               39    995        60.9%
b2b                                                       39    805        60.9%
in-house                                                  39    739        60.9%
experiments                                               39    717        60.9%
orchestration                                             39    712        60.9%
regulatory                                                38   2982        59.4%
awareness                                                 38   2831        59.4%
executives                                                38   2792        59.4%
gather                                                    38   2233        59.4%
tracking                                                  38   2083        59.4%
analyses                                                  38   1987        59.4%
targets                                                   38   1934        59.4%
bringing                                                  38   1913        59.4%
conducting                                                38   1862        59.4%
focusing                                                  38   1699        59.4%
expanding                                                 38   1586        59.4%
audits                                                    38   1563        59.4%
coordinating                                              38   1529        59.4%
debugging                                                 38   1490        59.4%
expansion                                                 38   1469        59.4%
ui                                                        38   1378        59.4%
go-to-market                                              38   1293        59.4%
architectural                                             38   1193        59.4%
deploying                                                 38   1192        59.4%
crucial                                                   38   1185        59.4%
llms                                                      38    985        59.4%
rest                                                      38    778        59.4%
detail-oriented                                           38    668        59.4%
ai-driven                                                 38    522        59.4%
audit                                                     37   5321        57.8%
2+                                                        37   4673        57.8%
assurance                                                 37   3219        57.8%
leveraging                                                37   3092        57.8%
navigate                                                  37   3080        57.8%
executing                                                 37   2217        57.8%
ambiguity                                                 37   2099        57.8%
constantly                                                37   2048        57.8%
involves                                                  37   1856        57.8%
forefront                                                 37   1784        57.8%
tailored                                                  37   1752        57.8%
builds                                                    37   1686        57.8%
validation                                                37   1680        57.8%
10+                                                       37   1307        57.8%
incident                                                  37   1234        57.8%
self-starter                                              37   1063        57.8%
functionality                                             37    956        57.8%
quarterly                                                 37    945        57.8%
propose                                                   37    937        57.8%
prototyping                                               37    709        57.8%
contribution                                              37    704        57.8%
typescript                                                37    593        57.8%
configurations                                            37    593        57.8%
iterate                                                   37    533        57.8%
confident                                                 37    434        57.8%
analyse                                                   36   3740        56.2%
push                                                      36   3373        56.2%
partnering                                                36   2355        56.2%
inform                                                    36   1941        56.2%
algorithms                                                36   1829        56.2%
incidents                                                 36   1554        56.2%
azure                                                     36   1499        56.2%
preparation                                               36   1475        56.2%
usage                                                     36   1406        56.2%
escalation                                                36   1235        56.2%
full-stack                                                36   1228        56.2%
cycles                                                    36   1173        56.2%
