slug,logo_url,icon_url,logo_sha256,icon_sha256
2020-companies,https://jobseek-assets.colophon-group.org/companies/2020-companies/logo-0a4ec0fce97032c4fd08a4f8937a80ce0011813e8cecb4a15fc0e6ef353a60df.png,https://jobseek-assets.colophon-group.org/companies/2020-companies/icon-7f7d460318017167fc82276063f23271731fab4b9a8a76f5d10261a41e4227fb.webp,0a4ec0fce97032c4fd08a4f8937a80ce0011813e8cecb4a15fc0e6ef353a60df,7f7d460318017167fc82276063f23271731fab4b9a8a76f5d10261a41e4227fb
alibaba,https://jobseek-assets.colophon-group.org/companies/alibaba/logo.png,https://jobseek-assets.colophon-group.org/companies/alibaba/icon.webp,333d72d7220c70e0421f9d7739dbaed975740422e6701c8523d1568f3f9303a6,a1bb5c9053697b64610870545bb0df35ebf22e6846a8559a9c4986ed2d07449c
american-college-of-obstetricians-and-gynecologists,https://jobseek-assets.colophon-group.org/companies/american-college-of-obstetricians-and-gynecologists/logo.png,https://jobseek-assets.colophon-group.org/companies/american-college-of-obstetricians-and-gynecologists/icon.webp,463d354db13df897bdf84887c9f7e04098b24a9c32aff209739ad9b21bcc0268,c0e47d66414c1212d1102d5aae787af378dfad4f75e3afb4c5183a06481aada6
bayer,https://jobseek-assets.colophon-group.org/companies/bayer/logo.svg,https://jobseek-assets.colophon-group.org/companies/bayer/icon.webp,2ff335197e1d1ed028e897e64b414e85f4ebdd826aa9009d8c32dda53d9911d4,b262a27c3965a69be8a10b115f8911c5fbd583f0333e175c9ef8960854655174
citian,https://jobseek-assets.colophon-group.org/companies/citian/logo.png,https://jobseek-assets.colophon-group.org/companies/citian/icon.webp,0c976ea2d96af26c575ed65ae4f32ecc4974ff3856de54580dbd353e3b5ec7c1,b1e3ef18a173fbb2731d99b9984cc7a68390f7458aecd1fc8ca461b7f00b1c96
clerk-chat,https://jobseek-assets.colophon-group.org/companies/clerk-chat/logo.svg,https://jobseek-assets.colophon-group.org/companies/clerk-chat/icon.webp,e7e6e82ab310ebaf446053b84b47d24d8635ea6eb526bb2826412c0f5fe80c5b,d480944668e40a36f2f583eaf7b104b5ca3ffba5d7fa90f005765c6af9421af6
climate-finance-solutions,https://jobseek-assets.colophon-group.org/companies/climate-finance-solutions/logo.png,https://jobseek-assets.colophon-group.org/companies/climate-finance-solutions/icon.webp,c0c0290510d28231dbcb10e9c5a23b7d524c5b7e237f0dfc1bc92288645a4b01,900fe407d6260fcd3b697570bfe1fd8da673042f5d79e324f9690441e3820496
contentstack,https://jobseek-assets.colophon-group.org/companies/contentstack/logo.webp,https://jobseek-assets.colophon-group.org/companies/contentstack/icon.webp,15e9df69ebc54782c38bbc6e73f3e7ff89970ab0279dc4ab130c374d6e47b967,32c03c4460b4d341696b486f0bcec25d4fe1797cd37e418b6ec7855838c58dec
desmos,https://jobseek-assets.colophon-group.org/companies/desmos/logo.png,https://jobseek-assets.colophon-group.org/companies/desmos/icon.webp,fc9844682bad49ba9c9c887f9cb834c86e2f82e819a48eaf33814c33e03eda04,0608010513cddb376e1dfdaba9fb39a9c3566801779c4d49b23903c9a4e64b65
dominos,https://jobseek-assets.colophon-group.org/companies/dominos/logo.png,https://jobseek-assets.colophon-group.org/companies/dominos/icon.webp,b76cf7eb21189e99fa1c2525953a69fff70a891d8485e41a70e87081d3f584aa,cf2dcbf2d83e0a851fb36bb0f77b28849abafa5e4615607bb7d824cc793440c0
five-rings-llc-events,https://jobseek-assets.colophon-group.org/companies/five-rings-llc-events/logo.png,https://jobseek-assets.colophon-group.org/companies/five-rings-llc-events/icon.webp,edb8c4f058f066a231aa2da02d7a2fb9eb12c3b520b4763afe16a74210711a58,76e9380b91e4ba52cf7bf683361cd79a000670359b30e8fc394d66e8b4f3392e
flock-homes,https://jobseek-assets.colophon-group.org/companies/flock-homes/logo.png,https://jobseek-assets.colophon-group.org/companies/flock-homes/icon.webp,745875019d4b3d5dacc2e672cd596af4bcedb084424e2a623717f96014789a4a,14283d366937a8b41135d371e3ec719a96622a6cc89f4c7b07d39bed1659a663
fries-gruppe,https://jobseek-assets.colophon-group.org/companies/fries-gruppe/logo.png,https://jobseek-assets.colophon-group.org/companies/fries-gruppe/icon.webp,9ff24bc08551fa584575c8985bfa6dd5731e42424ac59c58b788e3fc1d06d0cf,3fb0d03bd196faab34f33711d820a8d1d4723b45db936f67039227c6b9e3ed9f
galileo,https://jobseek-assets.colophon-group.org/companies/galileo/logo.png,https://jobseek-assets.colophon-group.org/companies/galileo/icon.webp,d6be8497a5b0ddba1d890a7b9d46314ad0d1863a48760984dd431f409c283274,6ce7471350194ba9ca22d0eef41fa71d0d1ab8cb072a53ffcc3e856a9be3f1a6
gallup,https://jobseek-assets.colophon-group.org/companies/gallup/logo.png,https://jobseek-assets.colophon-group.org/companies/gallup/icon.webp,701998eea90c5af0a3581702f54abe571919d0543cabe8b70d4b7e98f80692bd,618d7dcd3857b11c1d24e5847287f2e44217063986cab4d2bbad18a654396b7e
gsa-capital,https://jobseek-assets.colophon-group.org/companies/gsa-capital/logo.png,https://jobseek-assets.colophon-group.org/companies/gsa-capital/icon.webp,1e7dd6feaedfd85dfb7838bda168bd89b5237fb6fc345f0e3d5d94b54d34e9d3,d832945104819432d57169e586266a17def95b768e30763a7a609f3d77de2333
